Title,Author,Category,Publication Year,ISBN,Status,Student Name,Issue_Date,Returned_Date,Condition
The World of the Ancient Maya,"Henderson, John S.",Fantasy,2013,8390631634,Available,,,,Lost
A delicately personal matter: A J.D. Mulroy mystery novel,"Werry, Richard R.",Biography,1997,4865030023,Issued,Student 220,10-03-2024,27-03-2024,To Be Replaced
Terrorism and Democracy,"Turner, Stansfield",Biography,2016,3695232998,Issued,Student 234,10-05-2024,22-05-2024,Good
A Son of Thunder: Patrick Henry and the American Republic,"Mayer, Henry",Technology,2016,6011717427,Available,,,,Damaged
Cam Jansen and the Triceratops Pops Mystery #15,"Adler, David A. and Natti, Susanna (ILT)",Fiction,2016,1495354059,Available,,,,Good
Summerland,"Chabon, Michael",Non-Fiction,1982,7321180787,Issued,Student 77,15-02-2024,16-03-2024,Lost
Three Gospels,"Price, Reynolds (EDT)",Technology,2021,2801177461,Issued,Student 128,16-04-2024,16-05-2024,Damaged
Creative Conversations: The Writer's Complete Guide to Conducting Interviews,"Schumacher, Michael",Science,1984,7749695577,Available,,,,To Be Replaced
Doing It,"Burgess, Melvin",Fiction,1991,2721959126,Issued,Student 145,17-07-2024,14-08-2024,Damaged
The Wind in the Willows (Children's Classics),Kenneth Grahame,Fiction,2015,2961709893,Issued,Student 103,15-03-2024,03-04-2024,Good
500 Full-Size Patchwork Patterns,"Malone, Maggie",Fantasy,1995,7287517250,Issued,Student 101,06-07-2024,04-08-2024,To Be Replaced
Cases in managerial finance (The Dryden Press series in finance),Eugene F Brigham,Technology,1995,1646677686,Issued,Student 13,29-02-2024,18-03-2024,To Be Replaced
Stress And The Family: Coping With Normative Transitions (Psychosocial Stress Series),"McCubbin, Hamilton I. (EDT)",Technology,1980,9379439373,Available,,,,Good
Demon of the Waters: The True Story of the Mutiny on the Whaleship Globe,"Gibson, Gregory",History,1999,1446457642,Available,,,,Lost
The Tiananmen Papers : The Chinese Leadership's Decision to Use Force Against Their Own People - In Their Own Words,"Liang, Zhang (COM), Nathan, Andrew J. (EDT), Link, Perry (EDT), Nathan, Andrew J., Zhang, Liang, Link, E. Perry (EDT), Zhang, Liang (EDT), Link, E. Perry, and Liang, Zhang",Fiction,1989,8351491401,Available,,,,Lost
Struggle for Intimacy (Adult Children of Alcoholics series),"Woititz, Janet Geringer",Technology,2013,9141445255,Issued,Student 44,28-05-2024,01-06-2024,Good
550 Home Landscaping Ideas,"Fell, Derek and Erler, Catriona",Biography,2005,9911329062,Available,,,,Good
Money Harmony: Resolving Money Conflicts in Your Life and Relationships,"Mellan, Olivia",Non-Fiction,1995,6547706290,Issued,Student 202,28-06-2024,25-07-2024,Lost
Who Says Elephants Can't Dance?:  Inside IBM's Historic Turnaround,"Gerstner, Louis V., Jr.",Science,2008,2168041588,Available,,,,Damaged
The Expert's Guide To Backyard Birdfeeding,"Adler, Bill, Hughes, Heide, and Hughes, Heidi",Technology,2017,1468034755,Available,,,,Lost
Totline 123 Puppets (1 2 3 Series:  Language Ages 2-6),"Warren, Jean",History,2000,2745958114,Issued,Student 107,25-04-2024,05-05-2024,Good
American Artists On Art: From 1940 To 1980 (Icon Editions),"Johnson, Ellen H. (EDT)",Technology,1987,1388354759,Issued,Student 21,25-02-2024,23-03-2024,Good
Swan watch,Budd Schulberg,Fiction,1995,9454213661,Issued,Student 263,13-01-2024,04-02-2024,Lost
The American musical theater;: A consideration (A CBS Legacy collection book),"Engel, Lehman",Technology,1991,2073108894,Issued,Student 53,05-02-2024,09-02-2024,Lost
The Princess Test (Princess Tales),"Andersen, Hans Christian, Levine, Gail Carson, Elliott, Mark (ILT), and Elliott, Mark",Technology,1994,1561417687,Issued,Student 191,24-06-2024,15-07-2024,Lost
The Nature of Theatre.,"Roberts, Vera Mowry",Fantasy,2017,4490722186,Available,,,,Lost
Interactive Bulletin Boards,"Prizzi, Elaine and Hoffmann, Jeanne",Biography,2008,4475911318,Available,,,,Good
Parthian Words,Storm Jameson,Fiction,2009,1217487269,Issued,Student 203,07-05-2024,08-05-2024,To Be Replaced
Best Cat Stories,"O'Mara, Lesley and Geldart, William Geldart (ILT)",History,1991,2520174713,Available,,,,Good
Religion in America: An historical account of the development of American religious life,"Hudson, Winthrop Still",History,1989,9738752801,Available,,,,Lost
Why Can't I Fall in Love? A 12-Step Program,"Boteach, Shmuel",History,2006,3057422183,Available,,,,Damaged
Wolf in the Shadows (A Sharon Mccone Mystery),"Muller, Marcia",Non-Fiction,2006,3258354191,Available,,,,Good
Just Build the Ark and the Animals Will Come:: Children on Bible Stories,"Heller, David",Science,2010,7376649850,Issued,Student 199,10-03-2024,16-03-2024,Good
A Man for All Seasons: A Play in Two Acts,"Bolt, Robert",Fantasy,1994,2206596621,Issued,Student 272,01-04-2024,26-04-2024,Good
Jeremy: The Tale of an Honest Bunny,"Karon, Jan and Weidner, Teri (ILT)",Non-Fiction,1986,6330710675,Available,,,,Damaged
Invisible No More: The Secret Lives of Women Over 50,"Fisher, Renee, Kramer, Joyce, Peelen, Jean, and Llc, Invisible No More",Fantasy,2004,4630196130,Available,,,,Damaged
Harrap's Spanish and English Pocket Dictionary (Harrap's Dictionaries),"Alvarez Garcia, Teresa (EDT), Rodger, Liam (EDT), and Ron Diaz, Elena (EDT)",Science,2002,9711080868,Issued,Student 291,24-05-2024,29-05-2024,Good
The National Air and Space Museum,"Bryan, C. D. B.",Technology,2011,7623374739,Available,,,,Lost
Free Flight: From Airline Hell to a New Age of Travel,"Fallows, James M.",Fiction,1983,1939777262,Issued,Student 1,25-03-2024,24-04-2024,Lost
The Book of Massage: The Complete Step-by-Step Guide To Eastern And Western Techniques,"Lidell, Lucinda, Thomas, Sara, Cooke, Carola Beresford, and Porter, Anthony",Technology,1988,9023931339,Available,,,,To Be Replaced
The practice of social research,"Babbie, Earl",Fantasy,1989,4325878813,Issued,Student 38,05-04-2024,28-04-2024,Lost
"Endangered Pleasures: In Defense of Naps, Bacon, Martinis, Profanity, and Other Indulgences","Holland, Barbara",Fantasy,1986,6740486093,Issued,Student 70,10-02-2024,05-03-2024,Lost
Hosting the Birds: How to Attract Birds to Nest in Your Yard,"Mahnken, Jan",History,2021,2362721798,Issued,Student 115,19-06-2024,08-07-2024,Lost
Families on the Fault Line,"Rubin, Lillian B.",Science,1998,1546957087,Available,,,,To Be Replaced
Our Last Best Shot: Guiding our Children Through Early Adolescence,"Stepp, Laura Sessions",History,2016,1139082827,Issued,Student 114,12-06-2024,01-07-2024,Lost
Intermediate Algebra Functions and Authentic Applications,"Lehmann, Jay",Non-Fiction,2001,4201225242,Available,,,,Good
The Clustering of America,"Weiss, Michael J.",Non-Fiction,2020,9103115140,Issued,Student 6,08-03-2024,15-03-2024,Damaged
"Nelson Rockefeller,: A biography","Morris, Joe Alex",Fiction,2002,1005502537,Issued,Student 225,06-07-2024,20-07-2024,To Be Replaced
The PreHistory of The Far Side: A 10th Anniversary Exhibit (Volume 14),"Larson, Gary",History,2004,2612105539,Issued,Student 296,15-06-2024,10-07-2024,To Be Replaced
Double Buckeyes: A Story of the Way America Used to Be,"Shuster, Bud",Non-Fiction,2008,4632522232,Issued,Student 11,22-03-2024,31-03-2024,To Be Replaced
Investment Biker: Around the World With Jim Rogers,"Rogers, Jim",Science,1990,9108603060,Available,,,,Lost
Lyndon Baines Johnson: Late a President of the United States: Memorial Services in the Congress of the United States and tributes in eulogy,Various,Fantasy,1985,9131344493,Available,,,,Damaged
Readings in art history,"Spencer, Harold",Non-Fiction,2018,9116428507,Available,,,,Lost
Shakedown: Exposing The Real Jesse Jackson,"Timmerman, Kenneth R.",Science,1993,5185009345,Issued,Student 284,03-07-2024,02-08-2024,Damaged
"The Man Who Saw Through Time (The Scribner Library, Lyceum Editions, No. SL429)","Eiseley, Loren C.",Science,2022,6504099682,Available,,,,Lost
Speaking Out for Animals: True Stories About People Who Rescue Animals,"Stallwood, Kim W. (EDT)",History,2016,3108606793,Available,,,,Lost
Message from Forever: A Novel of Aboriginal Wisdom,"Morgan, Marlo",History,1985,7872873371,Available,,,,Damaged
A Prophet In His Own Country: The Triumphs and Defeats of Adlai E. Stevenson,Kenneth S. Davis,Non-Fiction,1990,8035975297,Available,,,,Lost
"Hacking Exposed: Network Security Secrets & Solutions, Third Edition (Hacking Exposed)","McClure, Stuart, Scambray, Joel, and Kurtz, George",Science,2005,7317658317,Issued,Student 47,13-06-2024,01-07-2024,Good
Aditi: The Living Arts of India,"Adams, Robert and Sethi, Rajeev (EDT)",Science,2004,2586568081,Issued,Student 23,08-03-2024,23-03-2024,Damaged
Shuffle Up and Deal: The Ultimate No Limit Texas Hold 'em Guide (World Poker Tour),"Sexton, Mike",Non-Fiction,1997,3423420650,Available,,,,Lost
Practical Small Gardens,"McHoy, Peter",Biography,1986,9958044697,Issued,Student 278,15-04-2024,10-05-2024,Damaged
A Taste for Love: A Romantic Cookbook for Two,"Harbison, Elizabeth M. and McGowan, Mary",Fantasy,1983,8906163641,Issued,Student 275,24-06-2024,22-07-2024,Lost
Venom of Argus,"Avery, Richard",Non-Fiction,2010,2283560032,Issued,Student 18,08-05-2024,27-05-2024,To Be Replaced
The Closing of the American Mind,"Bloom, Allan",Biography,2019,1633282877,Issued,Student 89,12-02-2024,19-02-2024,Lost
Fight Fat After Forty,"Peeke, Pamela",Fiction,2007,8228968839,Available,,,,Damaged
On the Edge of Cliff,"Pritchett, V. S.",Technology,2018,6402580787,Available,,,,Damaged
Romans,Navigators,Fantasy,2005,7666022005,Issued,Student 267,27-04-2024,27-05-2024,Damaged
Ain't You Glad You Joined the Republicans?: A Short History of the Gop,"Batchelor, John Calvin",Fantasy,2017,2802141793,Issued,Student 77,07-02-2024,26-02-2024,Damaged
The Professional: Lyndon B. Johnson,"White, William Smith",Technology,1986,4972536230,Available,,,,Damaged
Don't Know Much About the Bible: Everything You Need to Know About the Good Book but Never Learned,"Davis, Kenneth C.",Science,2006,6429425484,Issued,Student 293,04-06-2024,20-06-2024,Lost
The Power of Nice,"Dale, Jim, Shapiro, Ronald M., and Jankowski, Mark A.",Science,2005,8274219704,Available,,,,Damaged
Bringing Out the Best in Your Child: 80 Ways to Focus on Every Kid's Strengths,"Tobias, Cynthia Ulrich and Funk, Carol",Biography,1995,9801637712,Issued,Student 138,05-04-2024,06-04-2024,To Be Replaced
Dave Barry's Stay Fit and Healthy Until You're Dead,"Barry, Dave",Science,1997,8914965741,Available,,,,Good
Language and Myth,"Cassirer, Ernst",Science,2008,6673086213,Issued,Student 46,18-02-2024,04-03-2024,Damaged
Ripken: Cal on Cal,"Ripken, Cal, Jr., Iooss, Walter (PHT), and Vancil, Mark (EDT)",Biography,2011,9019515562,Available,,,,Good
German in 32 Lessons (Gimmick Series),Adrienne,Fiction,1999,2732526008,Available,,,,Lost
24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily,"O'Neil, William J.",Technology,1992,4594787485,Available,,,,To Be Replaced
Many Waters,"L'Engle, Madeleine",Fiction,2003,4026379752,Issued,Student 189,28-04-2024,15-05-2024,Lost
The Last Debate:  A Novel of Politics and Journalism,"Lehrer, James, Smith, Peter (EDT), and Osnos, Peter",Fiction,2023,1131267917,Issued,Student 251,01-06-2024,16-06-2024,Good
"Parents in Charge: Setting Healthy, Loving Boundaries for You and Your Child","Chidekel, Dana",Fantasy,2015,6797174636,Available,,,,To Be Replaced
Prep (Junior Library Guild Selection),"Coburn, Jake",Technology,1985,2224363672,Issued,Student 26,11-02-2024,10-03-2024,Damaged
This Lullaby,"Dessen, Sarah",Non-Fiction,1994,3780475472,Available,,,,Good
"No mean city,: An inquiry into civic greatness,","McKeldin, Theodore R",History,2012,5333183840,Available,,,,To Be Replaced
ROLLING THUNDER: Jet Combat From WW II to the Gulf War,"Rendall, Ivan",Fantasy,1980,6256052258,Issued,Student 141,18-04-2024,17-05-2024,Lost
The Everything Cover Letter Book (Everything),"Graber, Steven and Lipsman, Mark",History,1996,6232168056,Issued,Student 267,08-06-2024,21-06-2024,To Be Replaced
"Norman Mark's Chicago: Walking, bicycling & driving tours of the city","Mark, Norman",Fiction,2012,8900070153,Issued,Student 153,24-06-2024,28-06-2024,Lost
Believing in Jesus,"Foley, Leonard",Science,1997,8046300793,Issued,Student 134,16-06-2024,09-07-2024,Damaged
Irish Druids and Old Irish Religions,"Bonwick, James",Non-Fiction,1989,9699264134,Issued,Student 152,07-03-2024,06-04-2024,Damaged
Eat Smart for a Healthy Heart Cookbook,"Cooley, Denton A., M.D. and Moore, Carolyn E.",History,1982,4504756453,Issued,Student 114,24-06-2024,12-07-2024,Damaged
I Can Print A to Z (Wipe-off Activity Book--Reusable),Enterprises Incorporated Trend,Biography,2002,7473868020,Available,,,,Good
1-2-3 Murals: Simple Murals to Make from Children's Open-Ended Art,"Warren, Jean",Non-Fiction,1998,5714169271,Available,,,,Damaged
A Book of Americans,"Benet, Rosemary",Biography,2015,1383539822,Issued,Student 115,09-07-2024,06-08-2024,Damaged
The Pleasures of Watching Birds,"Oberman, Lola and Swan, Joy (ILT)",Technology,2001,6891331174,Issued,Student 238,31-01-2024,16-02-2024,Good
Young Men and Fire,"MacLean, Norman",Fantasy,2017,5600836559,Available,,,,Damaged
The Heritage of British Literature,"Bowen, Elizabeth",Technology,2023,6576395496,Available,,,,Lost
Creating Sanctuary: A New Approach to Gardening in the Washington Metropolitan Area,"Mitchell, Sherry",Non-Fiction,2001,2965254350,Issued,Student 93,18-07-2024,21-07-2024,Damaged
Spain (Culture Shock! A Survival Guide to Customs & Etiquette),"Graff, Marie Louise",Biography,1991,1249166485,Issued,Student 141,23-02-2024,19-03-2024,Good
The Metropolitan Museum of Art: The Cloisters; the Building and the Collection of Medieval Art in Fort Tryon Park,James Joseph Rorimer,Fantasy,1990,1378134712,Issued,Student 220,13-04-2024,27-04-2024,To Be Replaced
Second Treatise of Government,John Locke,Fiction,1982,3292578829,Issued,Student 8,23-03-2024,17-04-2024,To Be Replaced
Worldwide Wonders,"Harris, Tina",Fiction,2023,9607646309,Available,,,,Lost
Essential History of Art,Editor,Science,1999,1553753599,Issued,Student 258,30-05-2024,09-06-2024,Damaged
Where to Find It in the Bible: The Ultimate A to Z Resource,Ken Anderson,Technology,1982,6544063167,Issued,Student 223,24-06-2024,29-06-2024,To Be Replaced
"The German Panzers, from Mark I to Mark V ""Panther"" - Armor Series 2","Feist, Uwe",Science,1992,8782516473,Available,,,,Damaged
What Makes a Goya a Goya?,"Muhlberger, Richard",Biography,1988,9684051360,Available,,,,Damaged
How to Be Your Dog's Best Friend: A Training Manual for Dog Owners,"Monks, New Skete",Biography,2021,4402160254,Issued,Student 131,16-07-2024,03-08-2024,Good
Let Freedom Ring: Winning the War of Liberty over Liberalism,"Hannity, Sean",Fantasy,1983,3843139149,Available,,,,Lost
When All Hell Breaks Loose,"Spencer, Camika",Fiction,2006,7203282627,Available,,,,Damaged
"Gorgias (The Penguin Classics, L94)","Plato and Hamilton, Walter",History,1989,5334930042,Issued,Student 52,18-06-2024,05-07-2024,Lost
Quiet Times for Couples,"Wright, H. Norman",Fantasy,1988,4859551800,Available,,,,Good
"Herds of Thunder, Manes of Gold","Coville, Bruce",Technology,1986,3137772998,Available,,,,To Be Replaced
Transitions: Making Sense of Life's Changes,"Bridges, William",Technology,2013,5179517389,Issued,Student 210,16-03-2024,22-03-2024,Damaged
Beginner's Guide to Golf,"Lumb, Nick",History,1993,7359403225,Available,,,,Damaged
"I am the fox,",Winifred Van Etten,Biography,1985,4895020135,Issued,Student 77,24-01-2024,18-02-2024,Lost
Secretaries of war and secretaries of the army: Portraits & biographical sketches (CMH pub),"Bell, William Gardner",Biography,1986,9180965181,Available,,,,Damaged
A Contest of Faiths: Missionary Women and Pluralism in the America Southwest,"Yohn, Susan M.",Science,2009,1215092803,Available,,,,Good
The Single Parent's Money Guide,"Card, Emily and Kelly, Christie Watts",Science,2023,6638034087,Available,,,,Damaged
F2f,"Finch, Phillip",Fiction,1980,4659306670,Available,,,,To Be Replaced
Freud's Wishful Dream Book,"Welsh, Alexander",History,2019,4148502863,Issued,Student 176,16-02-2024,20-02-2024,Lost
Ingenious Inventions of Domestic Utility,"Bragdon, Allen D.",History,1997,8884307306,Issued,Student 216,15-06-2024,14-07-2024,Damaged
Complete Idiot's Guide to Parenting Your Teenager (The Complete Idiot's Guide),"Kelly, Kate",Non-Fiction,1983,4626454979,Available,,,,Good
The Antiques Care & Repair Handbook,"Jackson, Albert and Day, David",History,2016,8208643631,Available,,,,Good
Great Pyramid: Its Secrets & Mysteries Revealed,"Smyth, Charles Piazzi",Technology,2002,3625764422,Available,,,,Good
Holy War Inc. Inside the Secret World of Osama Bin Laden,"Bergen, Peter L.",Fiction,2006,2892740043,Available,,,,Good
Flavor,"DiSpirito, Rocco, Leutwyler, Henry, and Sherer, Kris",Science,1980,3426709025,Issued,Student 266,13-05-2024,05-06-2024,Good
Cinderella Cinderella Mini Book: Mini version (Fay's Fairy Tales),"Wegman, William, Kismaric, Carole, and Heiferman, Marvin",Fiction,2007,6362597344,Issued,Student 198,08-02-2024,06-03-2024,Good
After the Boxes Are Unpacked,"Miller, Susan",Fiction,1980,8940731272,Issued,Student 85,20-01-2024,14-02-2024,To Be Replaced
The Big Book of Gardening Skills,Gardenway Book (EDT),Non-Fiction,2001,9461708554,Available,,,,Damaged
Eakins,"Schendler, Sylvan",Fantasy,2021,6921203386,Available,,,,Damaged
Race relations (Prentice-Hall sociology series),"Kitano, Harry H. L.",History,2016,2924568778,Issued,Student 229,21-03-2024,25-03-2024,Damaged
The Washington ethnic food store guide,"Lawson, Jim C",Biography,1981,5735817014,Issued,Student 19,22-05-2024,09-06-2024,Lost
Reflections in a Glass Eye: Works from the International Center of Photography Collection,"International Center of Photography (PHT), Hollander, Anne (EDT), Handy, Ellen (EDT), and Handy, Ellen",Technology,2018,8033172680,Available,,,,Good
Getting Started in Powerboating,"Armstrong, Bob",History,2001,7246858055,Issued,Student 187,02-07-2024,17-07-2024,Damaged
Worth the Fighting For: A Memoir,"McCain, John and Salter, Mark",Technology,2022,1952396600,Issued,Student 182,11-06-2024,07-07-2024,Lost
Red Dragon Rising: Communist China's Military Threat to America,"Timperlake, Edward and Triplett, William C., II",Fantasy,2003,4015479599,Available,,,,Damaged
All the Way Home,"Giff, Patricia Reilly",Non-Fiction,2006,5754363475,Available,,,,Good
Totline 123 Rhymes Stories & Songs ~ Open-Ended Language (1-2-3 Series) Ages 3-6,"Warren, Jean",Technology,2005,6220917178,Available,,,,Good
"Pineapples, Penguins and Pagodas (Kids' Stuff)","Keeling, Jan (EDT) and Jinkins, Barbara",Fiction,2006,9125023089,Issued,Student 259,04-02-2024,20-02-2024,To Be Replaced
The Book of Ch'I: Harnessing the Healing Forces of Energy,"Wildish, Paul",Biography,1983,7808041613,Available,,,,Good
Being Little in Cambridge When Everyone Else Was Big,"Abbott, Eleanor Hallowell",Non-Fiction,1988,5739728188,Issued,Student 259,08-04-2024,22-04-2024,To Be Replaced
The Hero Within,"Pearson, Carol S.",Technology,1995,6470052645,Issued,Student 151,25-04-2024,21-05-2024,Good
Western,"Yerby, Frank",History,2018,8991678061,Available,,,,Damaged
Numbers (Wipe-Off Activity Books),#VALUE!,Fantasy,1998,8243940366,Available,,,,Damaged
Baroque Painting (Barron's Art Handbooks: Yellow Series),Parramon's Editorial Team (COR),Non-Fiction,2012,8030335064,Available,,,,Damaged
"More Ghosts of Gettysburg: Spirits, Apparitions and Haunted Places of the Battlefield","Nesbitt, Mark V.",Fantasy,2010,8344925075,Issued,Student 217,04-01-2024,21-01-2024,Damaged
Pierre Franey's Cooking In America,"Franey, Pierre, Jarrett, Lauren (ILT), and Flaste, Richard",History,1989,9817847029,Available,,,,Lost
Greek Art (New Revised Edition),"Boardman, John",Technology,1990,9519206782,Issued,Student 75,16-01-2024,08-02-2024,To Be Replaced
Utopia (Crofts Classics),"More, Thomas, Sir, Saint and Ogden, H. V. S. (EDT)",Technology,2014,5433722159,Issued,Student 53,06-06-2024,04-07-2024,Damaged
Bias: A CBS Insider Exposes How the Media Distort the News,"Goldberg, Bernard",Fantasy,1994,7705605962,Available,,,,To Be Replaced
Plain and Simple: A Woman's Journey to the Amish,"Bender, Sue",Science,2022,6933852220,Issued,Student 161,21-05-2024,23-05-2024,Good
Twentieth-century art from the Nelson Aldrich Rockefeller collection,"LIEBERMAN, Nelson A",Science,1992,9032096058,Available,,,,Lost
7 Simple Steps to Unclutter Your Life,"Smallin, Donna",Biography,2021,6126033644,Issued,Student 91,23-06-2024,26-06-2024,Damaged
Virginia trout streams: A guide to fishing the Blue Ridge watershed,"Slone, Harry",Biography,2012,5807588013,Available,,,,Lost
How to Fool Fish With Feathers: The Incompleat Guide to Fly-Fishing,"MacNelly, Jeff and Margolis, Jon",Fantasy,1996,1558631501,Issued,Student 3,25-03-2024,09-04-2024,Good
Tom Brown's Schooldays (Oxford World's Classics),"Sanders, Andrew, Hughes, Arthur, and Hughes, Thomas",Fiction,1989,9283395204,Available,,,,Damaged
Metamorphoses (Oxford World's Classics),"Ovid, Melville, A. D. (TRN), and Kenney, E. J. (INT)",Fantasy,2022,6588417397,Issued,Student 38,19-07-2024,11-08-2024,Damaged
Germinal (Oxford World's Classics),"Zola, Emile, Collier, Peter (TRN), and Lethbridge, Robert (TRN)",Non-Fiction,1991,3235986982,Available,,,,Damaged
The California Coastal Resource Guide,"California Coastal Commission, Caughman, Madge, and Ginsberg, Joanne S.",Fantasy,2005,5689870435,Available,,,,To Be Replaced
Tools and Gadgets (Historic Communities (Paperback)),"Kalman, Bobbie",Science,2001,6844582171,Available,,,,Damaged
Matilda,"Gallico, Paul",Fantasy,2010,1037811610,Issued,Student 229,02-03-2024,31-03-2024,Good
The Ultimate Book Of Paint Effects,"Salli Brand, Jullie Collins, Catherine Cumming, Tricia Greening, Katrina Hall, Frances Halliday, Clare Louise Hunt, Joanna Jones, Lawrence Llewelyn Bo",Fantasy,1995,5118430494,Issued,Student 196,30-01-2024,12-02-2024,To Be Replaced
Where No One Has Gone Before: A History in Pictures (Star Trek),"Dillard, J. M. and Dillar, J. M.",Biography,1998,8604215219,Issued,Student 250,12-01-2024,22-01-2024,Good
Superdog: Raising the Perfect Canine Companion,"Fox, Michael W.",Science,2012,1412129737,Available,,,,To Be Replaced
Football America: Celebrating Our National Passion,"Barber, Phil and Didinger, Ray",Non-Fiction,2022,8238760130,Available,,,,Damaged
In Our Own Image: Building an Artificial Person,"Caudill, Maureen",Technology,2007,5036200310,Available,,,,Lost
Death and Deconstruction,"Fleming, Anne",Biography,2001,1162720486,Available,,,,Good
1990 BEST-RECIPES YEARBOOK,"""Better Homes and Gardens""",Technology,1996,3396953414,Available,,,,Damaged
People of the High Plateau,"Berman, Carl",History,2008,8001729836,Issued,Student 162,05-01-2024,18-01-2024,Good
"The Education of the Heart: Readings and Sources for Care of the Soul, Soul Mates, and The Re-Enchantment of Everyday Life","Moore, Thomas (EDT)",Fantasy,1980,3655790301,Available,,,,To Be Replaced
Legends: Conversations With Baseball Greats,"Rust, Art and Marley, Michael",Science,2012,5750815980,Issued,Student 45,13-03-2024,07-04-2024,To Be Replaced
Out to Canaan (Book 4 of the Mitford Years),"Karon, Jan",History,2022,5427334554,Available,,,,Good
Management and Organizational Behavior,"Hunsaker, Phillip L., Cook, Curtis W., and Coffey, Robert E.",Non-Fiction,2005,3723205427,Issued,Student 192,03-01-2024,21-01-2024,Damaged
"What Every Woman Needs to Know about Menopause: The Years Before, During, and After","Minkin, Mary Jane, M.D. and Wright, Carol V.",Fiction,1982,9611537583,Issued,Student 276,20-05-2024,23-05-2024,Damaged
Garfield Book of Cat Names,"Davis, Jim and Wallace, Carol",Biography,2002,6204370540,Available,,,,To Be Replaced
Introductory clinical pharmacology,Jeanne C Scherer,Non-Fiction,2019,8880184233,Available,,,,Damaged
"Decorating with Wreaths, Garlands, Topiaries & Bouquets","Mays, Steven (PHT) and Sterbenz, Carol Endler",Biography,2016,4660390742,Issued,Student 282,19-01-2024,29-01-2024,Damaged
Prince Charles,"Brown, Michele",Science,1986,7788606640,Issued,Student 183,02-02-2024,24-02-2024,Lost
Laura Ashley Color: Using Color to Decorate Your Home,"Berry, Susan, Laura Ashley (Firm) (COR), Ashley, Laura, and Kuscenko, Valerie (EDT)",Fiction,1998,3660800029,Available,,,,Damaged
"Shark Tank: Greed, Politics, and the Collapse of Finley Kumble, One of America's Largest Law Firms","Eisler, Kim Isaac",History,2001,3508990774,Issued,Student 162,19-04-2024,25-04-2024,Lost
Antiques as an Investment,"Rush, Richard H.",Non-Fiction,1994,8047347877,Issued,Student 185,04-02-2024,26-02-2024,To Be Replaced
"The Real War on Crime: Report of the National Criminal Justice Commission, The","National Criminal Justice Commission (U. S.) (COR) and Donziger, Steven A. (EDT)",History,2009,7207765221,Issued,Student 250,21-05-2024,25-05-2024,Lost
Ernie And His Merry Monsters (Sesame Street Good-Night Stories),Michaela Muntean,Fantasy,1985,8910440683,Available,,,,Lost
"The Quarterlifer's Companion : How to Get on the Right Career Path, Control Your Finances, and Find the Support Network You Need to Thrive","Wilner, Abby and Stocker, Catherine",Science,2020,9918338001,Available,,,,Good
Leaving Town Alive: Confessions of an Arts Warrior,"Frohnmayer, John",Biography,1981,7781327255,Available,,,,To Be Replaced
A Show of Hands: Say It in Sign Language,"Sullivan, Mary Beth and Bourke, Linda",Science,2014,7612862866,Available,,,,To Be Replaced
Silent Sons: A Book for and About Men,"Ackerman, Robert J.",Non-Fiction,2017,2249831874,Issued,Student 257,10-05-2024,13-05-2024,To Be Replaced
Walker Evans: A Biography,"Evans, Walker and Rathbone, Belinda",Fantasy,1980,3846182436,Available,,,,To Be Replaced
"Meteorology today: An introduction to weather, climate, and the environment","Ahrens, C. Donald",Non-Fiction,2008,1683855081,Available,,,,Good
"Contest for a Capital: George Washington, Robert Morris, and Congress, 1783-1791, Contenders : Dramatized Events of America's Founding Years","Loftin, T. L. and Zarambouka, Sofia (ILT)",History,2002,1173601852,Issued,Student 119,17-01-2024,26-01-2024,Damaged
Americas Glorious Quilts,"Duke, Dennis",Fiction,2022,6846530109,Issued,Student 233,12-01-2024,14-01-2024,Lost
Cars 1886-1930,"Georgano, G. N.",Fiction,2013,8481445242,Available,,,,Lost
Dr Jekyll and Mr Hyde and Weir of Hermiston (Oxford World's Classics),"Stevenson, Robert Louis and Letley, Emma",History,2003,9924243978,Issued,Student 193,27-02-2024,15-03-2024,Lost
Spirited Americans: A Commentary on America's Optimists-From the Puritans to the Cybr-Century,"Jeffcoat, A. E.",Technology,2002,3595066420,Available,,,,Good
What Went Wrong?: Western Impact and Middle Eastern Response,"Lewis, Bernard",Non-Fiction,1984,2206067650,Available,,,,To Be Replaced
Lessons from the Fairway: Inspirational Stories from the Fairway for the Yound and Old Alike!,"Fisher, R. McKenzie",Science,2018,6284297249,Issued,Student 59,03-05-2024,25-05-2024,Good
Your Sacred Self,"Dyer, Wayne W.",Non-Fiction,2017,8874242713,Available,,,,Lost
The World's Whales: The Complete Illustrated Guide,"Balcomb, Kenneth C., Foster, Larry, and Minasian, Stanley M.",Non-Fiction,2016,3544113848,Available,,,,Lost
Taming and Training Conures,"Teitler, Risa",Fiction,2016,1630780803,Available,,,,Damaged
In the Footsteps of Gandhi: Conversations With Spiritual Social Activists,"Ingram, Catherine and Gandhi, Ramchandra (FRW)",Fantasy,2005,1368287033,Issued,Student 242,03-05-2024,09-05-2024,Damaged
"Is Sex Necessary?: Or, Why You Feel the Way You Do","White, E. B. and Thurber, James",Fantasy,1989,2136107759,Issued,Student 233,01-06-2024,20-06-2024,Damaged
"Dark windows,","McDaniel, Weston Owen",History,2004,1567851370,Available,,,,Damaged
